,,,,,,,,,,,,,,,,,,,,,,
Major6C,1,,,,1,,,1,,2,,,,,,,,,,,,
Major6CC,,1,,,,1,,,1,,2,,,,,,,,,,,
Major6D,,,1,,,,1,,,1,,2,,,,,,,,,,
Major6DD,,,,1,,,,1,,,1,,2,,,,,,,,,
Major6E,,,,,1,,,,1,,,1,,2,,,,,,,,
Major6F,,,,,,1,,,,1,,,1,,2,,,,,,,
Major6FF,,,,,,,1,,,,1,,,1,,2,,,,,,
Major6G,,,,,,,,1,,,,1,,,1,,2,,,,,
Major6GG,,,,,,,,,1,,,,1,,,1,,2,,,,
Major6A,,,,,,,,,,1,,,,1,,,1,,2,,,
Major6AA,,,,,,,,,,,1,,,,1,,,1,,2,,
Major6B,,,,,,,,,,,,1,,,,1,,,1,,2,
Major7C,1,,,,1,,,1,,,2,,,,,,,,,,,
Major7CC,,1,,,,1,,,1,,,2,,,,,,,,,,
Major7D,,,1,,,,1,,,1,,,2,,,,,,,,,
Major7DD,,,,1,,,,1,,,1,,,2,,,,,,,,
Major7E,,,,,1,,,,1,,,1,,,2,,,,,,,
Major7F,,,,,,1,,,,1,,,1,,,2,,,,,,
Major7FF,,,,,,,1,,,,1,,,1,,,2,,,,,
Major7G,,,,,,,,1,,,,1,,,1,,,2,,,,
Major7GG,,,,,,,,,1,,,,1,,,1,,,2,,,
Major7A,,,,,,,,,,1,,,,1,,,1,,,2,,
Major7AA,,,,,,,,,,,1,,,,1,,,1,,,2,
Major7B,,,,,,,,,,,,1,,,,1,,,1,,,2
Minor6C,1,,,1,,,,1,,2,,,,,,,,,,,,
Minor6CC,,1,,,1,,,,1,,2,,,,,,,,,,,
Minor6D,,,1,,,1,,,,1,,2,,,,,,,,,,
Minor6DD,,,,1,,,1,,,,1,,2,,,,,,,,,
Minor6E,,,,,1,,,1,,,,1,,2,,,,,,,,
Minor6F,,,,,,1,,,1,,,,1,,2,,,,,,,
Minor6FF,,,,,,,1,,,1,,,,1,,2,,,,,,
Minor6G,,,,,,,,1,,,1,,,,1,,2,,,,,
Minor6GG,,,,,,,,,1,,,1,,,,1,,2,,,,
Minor6A,,,,,,,,,,1,,,1,,,,1,,2,,,
Minor6AA,,,,,,,,,,,1,,,1,,,,1,,2,,
Minor6B,,,,,,,,,,,,1,,,1,,,,1,,2,
Minor7C,1,,,1,,,,1,,,2,,,,,,,,,,,
Minor7CC,,1,,,1,,,,1,,,2,,,,,,,,,,
Minor7D,,,1,,,1,,,,1,,,2,,,,,,,,,
Minor7DD,,,,1,,,1,,,,1,,,2,,,,,,,,
Minor7E,,,,,1,,,1,,,,1,,,2,,,,,,,
Minor7F,,,,,,1,,,1,,,,1,,,2,,,,,,
Minor7FF,,,,,,,1,,,1,,,,1,,,2,,,,,
Minor7G,,,,,,,,1,,,1,,,,1,,,2,,,,
Minor7GG,,,,,,,,,1,,,1,,,,1,,,2,,,
Minor7A,,,,,,,,,,1,,,1,,,,1,,,2,,
Minor7AA,,,,,,,,,,,1,,,1,,,,1,,,2,
Minor7B,,,,,,,,,,,,1,,,1,,,,1,,,2
AugmentedC,1,,,,1,,,,1,,,,,,,,,,,,,
AugmentedCC,,1,,,,1,,,,1,,,,,,,,,,,,
AugmentedD,,,1,,,,1,,,,1,,,,,,,,,,,
AugmentedDD,,,,1,,,,1,,,,1,,,,,,,,,,
AugmentedE,,,,,1,,,,1,,,,1,,,,,,,,,
AugmentedF,,,,,,1,,,,1,,,,1,,,,,,,,
AugmentedFF,,,,,,,1,,,,1,,,,1,,,,,,,
AugmentedG,,,,,,,,1,,,,1,,,,1,,,,,,
AugmentedGG,,,,,,,,,1,,,,1,,,,1,,,,,
AugmentedA,,,,,,,,,,1,,,,1,,,,1,,,,
AugmentedAA,,,,,,,,,,,1,,,,1,,,,1,,,
AugmentedB,,,,,,,,,,,,1,,,,1,,,,1,,
DiminishedC,1,,,1,,,1,,,,,,,,,,,,,,,
DiminishedCC,,1,,,1,,,1,,,,,,,,,,,,,,
DiminishedD,,,1,,,1,,,1,,,,,,,,,,,,,
DiminishedDD,,,,1,,,1,,,1,,,,,,,,,,,,
DiminishedE,,,,,1,,,1,,,1,,,,,,,,,,,
DiminishedF,,,,,,1,,,1,,,1,,,,,,,,,,
DiminishedFF,,,,,,,1,,,1,,,1,,,,,,,,,
DiminishedG,,,,,,,,1,,,1,,,1,,,,,,,,
DiminishedGG,,,,,,,,,1,,,1,,,1,,,,,,,
DiminishedA,,,,,,,,,,1,,,1,,,1,,,,,,
DiminishedAA,,,,,,,,,,,1,,,1,,,1,,,,,
DiminishedB,,,,,,,,,,,,1,,,1,,,1,,,,