,,,,,,,,,,,,,,,,,,,,,,,,
ScaleMajorC,1,,1,,1,1,,1,,1,,1,2,,2,,2,2,,2,,2,,2
ScaleMajorCC,2,1,,1,,1,1,,1,,1,,1,2,,2,,2,2,,2,,2,
ScaleMajorD,,2,1,,1,,1,1,,1,,1,,1,2,,2,,2,2,,2,,2
ScaleMajorDD,2,,2,1,,1,,1,1,,1,,1,,1,2,,2,,2,2,,2,
ScaleMajorE,,2,,2,1,,1,,1,1,,1,,1,,1,2,,2,,2,2,,2
ScaleMajorF,2,,2,,2,1,,1,,1,1,,1,,1,,1,2,,2,,2,2,
ScaleMajorFF,,2,,2,,2,1,,1,,1,1,,1,,1,,1,2,,2,,2,2
ScaleMajorG,2,,2,,2,,2,1,,1,,1,1,,1,,1,,1,2,,2,,2
ScaleMajorGG,2,2,,2,,2,,2,1,,1,,1,1,,1,,1,,1,2,,2,
ScaleMajorA,,2,2,,2,,2,,2,1,,1,,1,1,,1,,1,,1,2,,2
ScaleMajorAA,2,,2,2,,2,,2,,2,1,,1,,1,1,,1,,1,,1,2,
ScaleMajorB,,2,,2,2,,2,,2,,2,1,,1,,1,1,,1,,1,,1,2
ScaleMinorNaturalA,2,,2,,2,2,,2,,1,,1,1,,1,,1,1,,1,,2,,2
ScaleMinorNaturalAA,2,2,,2,,2,2,,2,,1,,1,1,,1,,1,1,,1,,2,
ScaleMinorNaturalB,,2,2,,2,,2,2,,2,,1,,1,1,,1,,1,1,,1,,2
ScaleMinorNaturalC,2,,2,2,,2,,2,2,,2,,1,,1,1,,1,,1,1,,1,
ScaleMinorNaturalCC,,2,,2,2,,2,,2,2,,2,,1,,1,1,,1,,1,1,,1
ScaleMinorNaturalD,2,,1,,1,1,,1,,1,1,,1,,2,,2,2,,2,,2,2,
ScaleMinorNaturalDD,,2,,1,,1,1,,1,,1,1,,1,,2,,2,2,,2,,2,2
ScaleMinorNaturalE,2,,2,,1,,1,1,,1,,1,1,,1,,2,,2,2,,2,,2
ScaleMinorNaturalF,2,2,,2,,1,,1,1,,1,,1,1,,1,,2,,2,2,,2,
ScaleMinorNaturalFF,,2,2,,2,,1,,1,1,,1,,1,1,,1,,2,,2,2,,2
ScaleMinorNaturalG,2,,2,2,,2,,1,,1,1,,1,,1,1,,1,,2,,2,2,
ScaleMinorNaturalGG,,2,,2,2,,2,,1,,1,1,,1,,1,1,,1,,2,,2,2
ScaleMinorHarmonicA,2,,2,,2,2,,0,2,1,,1,1,,1,,1,1,,0,1,2,,2
ScaleMinorHarmonicAA,2,2,,2,,2,2,,0,2,1,,1,1,,1,,1,1,,0,1,2,
ScaleMinorHarmonicB,,2,2,,2,,2,2,,0,2,1,,1,1,,1,,1,1,,0,1,2
ScaleMinorHarmonicC,1,,1,1,,1,,1,1,,0,1,2,,2,2,,2,,2,2,,,2
ScaleMinorHarmonicCC,2,1,,1,1,,1,,1,1,,0,1,2,,2,2,,2,,2,2,,
ScaleMinorHarmonicD,0,2,1,,1,1,,1,,1,1,,0,1,2,,2,2,,2,,2,2,
ScaleMinorHarmonicDD,,0,2,1,,1,1,,1,,1,1,,0,1,2,,2,2,,2,,2,2
ScaleMinorHarmonicE,2,,0,2,1,,1,1,,1,,1,1,,0,1,2,,2,2,,2,,2
ScaleMinorHarmonicF,2,2,,0,2,1,,1,1,,1,,1,1,,0,1,2,,2,2,,2,
ScaleMinorHarmonicFF,,2,2,,0,2,1,,1,1,,1,,1,1,,0,1,2,,2,2,,2
ScaleMinorHarmonicG,2,,2,2,,0,2,1,,1,1,,1,,1,1,,0,1,2,,2,2,
ScaleMinorHarmonicGG,,2,,2,2,,0,2,1,,1,1,,1,,1,1,,0,1,2,,2,2
ScaleMinorMelodicA,2,,2,,2,0,2,0,2,1,,1,1,,1,,1,0,1,0,1,2,,2
ScaleMinorMelodicAA,2,2,,2,,2,0,2,0,2,1,,1,1,,1,,1,0,1,0,1,2,
ScaleMinorMelodicB,,2,2,,2,,2,0,2,0,2,1,,1,1,,1,,1,0,1,0,1,2
ScaleMinorMelodicC,1,,1,1,,1,,1,0,1,0,1,2,,2,2,,2,,2,0,2,,2
ScaleMinorMelodicCC,2,1,,1,1,,1,,1,0,1,0,1,2,,2,2,,2,,2,0,2,
ScaleMinorMelodicD,0,2,1,,1,1,,1,,1,0,1,0,1,2,,2,2,,2,,2,0,2
ScaleMinorMelodicDD,2,0,2,1,,1,1,,1,,1,0,1,0,1,2,,2,2,,2,,2,0
ScaleMinorMelodicE,0,2,0,2,1,,1,1,,1,,1,0,1,0,1,2,,2,2,,2,,2
ScaleMinorMelodicF,2,0,2,0,2,1,,1,1,,1,,1,0,1,0,1,2,,2,2,,2,
ScaleMinorMelodicFF,,2,0,2,0,2,1,,1,1,,1,,1,0,1,0,1,2,,2,2,,2
ScaleMinorMelodicG,2,,2,0,2,0,2,1,,1,1,,1,,1,0,1,0,1,2,,2,2,
ScaleMinorMelodicGG,,2,,2,0,2,0,2,1,,1,1,,1,,1,0,1,0,1,2,,2,2